artifact_set,role,path,bytes,sha256
input,corpus_manifest,data/corpus/manuscript_corpus.yaml,1145,862d88d94bf5b35251c33edd27cf24d26838bd0b5cb5300053cebdd7dd046b42
input,case_manifest_jsonl,data/cases/manuscript_cases.jsonl,273992,4fd263f532f84a64c13ea2bbfad54c2167d7c838a14ed1db300336fac7fc764b
input,annotation_jsonl,data/annotations/manuscript_annotations.jsonl,356432,07c894e9d09b6d70b2a68e87ac9bfa66ce8e3259bc1679623c17fd970937275b
input,scorer_jsonl,data/scorers/decision_trace_reconstructor_outputs.jsonl,124832,aa4efbd9b1c939a5d0705e3d9d86fbc60915f3dd553af8e0ec515a3e5e501800
output,adjudicated_corpus_manifest,data/results/manuscript_adjudicated_corpus.yaml,1159,991e7711170d4bb5900f4806c8c354a9ed10180f83d1be2ba8930f22215b2e0b
output,corpus_validation,data/results/manuscript_corpus_validation.json,2511,3eb29cc34a2ff4961d3feccce5bfa7f32426b0db7a43b268771eaf9e425f7516
output,label_calibration,data/results/manuscript_label_calibration.json,1232,ef050300c3d626b1e8b298776d51445eca431aae0d227bce9ae33aa3402dedd5
output,label_review,data/results/manuscript_label_review.json,286563,ce77adad0ba02b10718c9f369580e7ba15779863d989d01163ed394572949916
output,label_review_csv,data/results/manuscript_label_review.csv,108881,f4b64b6d00cf62a789e90b1efb3cc2766921f627bd55d989df94b1f61627c9a2
output,label_adjudication,data/results/manuscript_label_adjudication.json,347,d2477fa2b127518fef3348f545483e25e57e9b49281f302ed6c7b569b8f382fb
output,adjudicated_cases,data/results/manuscript_adjudicated_cases.jsonl,273992,4fd263f532f84a64c13ea2bbfad54c2167d7c838a14ed1db300336fac7fc764b
output,scorer_validation,data/results/manuscript_scorer_validation.json,380,0ac758711aa40bea6cfbbf5a0e112e133ffeda1760b7a6288840f15cdf492d97
output,scorer_results,data/results/manuscript_scorer_results.jsonl,214776,cd8245b03e944765ff95115ec0ba1e25d051aef4b307abf7851d084a9a3dbfc4
output,scorer_summary,data/results/manuscript_scorer_summary.json,6838,3e7a4dde4848b859fe2962a5786807e49c59c17f9a6d12edfa6ff18a731711ae
output,baseline_validation,data/results/manuscript_baseline_validation.json,327,a75f56423ce80bd879304303ca44ccc3cfda100e38c8da1e51129d9b5024e27b
output,baseline_results,data/results/manuscript_baseline_results.jsonl,120776,5091a98b94f4d19850f77b1b950ba50d2bd4e36952729725ec3460f7603bb05e
output,baseline_summary,data/results/manuscript_baseline_summary.json,24763,d8c6ac48b232694d39579f13bef7636a30b3268798b1e7d6fbb77cba09659459
output,run_manifest,data/results/manuscript_run_manifest.json,2843,700370265bb7f70561bcbf720e391f596cc83a03ec828998ed685982f469d73c
output,readiness_report,data/results/manuscript_readiness_report.json,5034,1194ff1974eeabd709edaab9b7b1bddbd071edbc3f77de64ec9f1ed88b14b777
output,readiness_gaps,data/results/manuscript_readiness_gaps.json,322,452969f9c75e1b4ce5dea64f0735a02b58ca206fded8f1e7e4ecfaa27ab5373e
